id,Pendapatan Keluarga,Jumlah Tanggungan dalam Keluarga,Pekerjaan Orang Tua/Wali,Pendidikan Orang Tua/Wali,Kepemilikan Aset,Lokasi Tempat Tinggal,Pengeluaran Bulanan Keluarga,Status Kepesertaan Program Bantuan Pemerintah,Riwayat Beasiswa atau Bantuan Pendidikan,Ayah Hidup?,Ibu Hidup?,Status Kepemilikan Tempat Tinggal,Jumlah (Perkiraan Harga Pasar) Kendaraan yang Dimiliki,Daya Listrik (Watt),Luas Tanah Rumah (m2),Luas Bangunan Rumah (m2),NJOP per Meter,Bahan Atap Rumah,Bahan Tembok Rumah,Bahan Lantai Rumah,Rerata Pengeluaran Listrik & Air per Bulan,Total Hutang,Cicilan Hutang per Bulan,Program Studi,Kota,Jalur Masuk,Golongan UKT
82220,Rp 4.000.000 s.d. Rp 5.000.000,2.0,Wiraswasta,SLTA,Menumpang,Kabupaten Tegal ,3000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Menumpang,49000000.0,900.0,212.0,90.0,243000.0,Genteng,Batu bata,Keramik,250000.0,0.0,0.0,Manajemen,Kabupaten Tegal ,SNBT,7.0
80907,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Petani,MI,Milik Sendiri,Kabupaten Batang ,1000000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,5000000.0,450.0,217.0,56.0,14000.0,GENTENG,KAYU,TANAH,35960.0,0.0,0.0,Pendidikan Teknik Mesin,Kabupaten Batang ,SNBT,2.0
106109,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Petani,SLTP,Menumpang,Kab. Demak,1000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Menumpang,15000000.0,1300.0,72.0,72.0,64000.0,Genting,Bata,Keramik,182000.0,10000000.0,500000.0,"Pendidikan Jasmani, Kesehatan, dan Rekreasi",Kab. Demak,SNBP,3.0
108584,Rp 3.000.000 s.d. Rp 4.000.000,2.0,Wiraswasta,SLTP,Milik Sendiri,Kab. Jepara,1200000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,45000000.0,1040.0,385.0,288.0,160000.0,genteng tanah liat,batu bata,keramik,450000.0,10500000.0,0.0,Pendidikan Teknik Elektro,Kab. Jepara,SNBT,5.0
148740,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Petani,SLTA,Milik Sendiri,Kab. Brebes,800000.0,KIS/JKS/BPJS,kipk,Hidup,Hidup,Milik Sendiri,1500000.0,900.0,663.0,80.0,243000.0,Genting,semen,Keramik,100000.0,0.0,0.0,Pendidikan Tata Boga,Kab. Brebes,SNBT,0.0
46673,Rp 4.000.000 s.d. Rp 5.000.000,1.0,Pegawai Swasta,D4,Milik Sendiri,Kabupaten Demak ,1000000.0,,-,Hidup,Hidup,Milik Sendiri,7000000.0,1300.0,96.0,78.0,0.0,Genteng,batu bata,keramik,460000.0,0.0,0.0,Pendidikan Sejarah,Kabupaten Demak ,SNBT,4.0
93151,lebih dari Rp 5.000.000,2.0,Pegawai Pemerintahan,S1,Milik Sendiri,Kabupaten Grobogan ,2000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,60000000.0,900.0,484.0,90.0,20000.0,genteng,semen dan kayu,keramik,150000.0,140000000.0,3169200.0,Pendidikan Matematika,Kabupaten Grobogan ,SNBT,7.0
47582,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Petani,SD/MI Sederajat,Milik Sendiri,Kabupaten Bandung ,650000.0,,Tidak Dapat,Hidup,Hidup,Milik Sendiri,7000000.0,450.0,190.0,120.0,10000.0,Genting,Semen,Ubin,25000.0,15000000.0,1000000.0,Ilmu Sejarah,Kabupaten Bandung ,SNBT,4.0
107071,Rp 4.000.000 s.d. Rp 5.000.000,0.0,Pegawai Swasta,SLTA Sederajat,Menumpang,Kab. Demak,1500000.0,KIS/JKS/BPJS,kipk,Hidup,Hidup,Menumpang,2.0,900.0,60.0,40.0,60000000.0,Esbes,"semen , pasir , batu bata",kramik,75000.0,0.0,0.0,Ilmu Keolahragaan,Kab. Demak,SNBT,0.0
128477,Rp 4.000.000 s.d. Rp 5.000.000,1.0,Tidak Bekerja,S1,Milik Sendiri,Kota Semarang,2215188.0,KIS/JKS/BPJS,Tidak Dapat,Meninggal,Hidup,Milik Sendiri,18200000.0,1300.0,112.0,45.0,1770000.0,Bata,Semen,Keramik,267000.0,48000000.0,1500000.0,Sistem Informasi,Kota Semarang,SNBT,5.0
